25.5,4.7143,195.407
27.5,5.4805,235.974
29.5,6.3004,280.35
31.5,7.1733,328.538
33.5,8.0998,380.536
35.5,9.08,436.344
37.5,10.1147,495.964
39.5,11.2036,559.394
41.5,12.3466,626.635
43.5,13.5441,697.686
45.5,14.7911,772.549
16.5,2.1237,50.3519
18.5,2.6293,72.1294
20.5,3.1973,97.7385
22.5,3.8243,127.176
24.5,4.5094,160.438
26.5,5.2506,197.525
28.5,6.0465,238.433
30.5,6.8963,283.161
32.5,7.7988,331.709
34.5,8.7546,384.075
36.5,9.7638,440.259
38.5,10.8268,500.26
40.5,11.9392,564.078
42.5,13.0861,631.711
23.5,4.58,190.992
25.5,5.2251,231.556
27.5,5.9273,275.93
29.5,6.6819,324.114
31.5,7.4919,376.11
33.5,8.3573,431.916
35.5,9.2778,491.533
37.5,10.2535,554.961
39.5,11.2851,622.2
41.5,12.3701,693.25
8.5,0.1966,-nan
10.5,0.4597,-nan
12.5,0.7746,-nan
14.5,1.1609,-nan
16.5,1.6112,-nan
18.5,2.1265,-nan
20.5,2.7051,-nan
22.5,3.3441,-nan
24.5,4.0411,-nan
26.5,4.7937,-nan
28.5,5.5992,-nan
30.5,6.457,-nan
32.5,7.3667,-nan
34.5,8.3293,-nan
36.5,9.3458,-nan
38.5,10.4169,-nan
40.5,11.5431,-nan
42.5,12.7224,-nan
44.5,13.9491,-nan
46.5,15.2181,-nan
48.5,16.5221,-nan
13.5,1.3394,-nan
15.5,1.7467,-nan
17.5,2.2184,-nan
19.5,2.7527,-nan
21.5,3.3484,-nan
23.5,4.003,-nan
25.5,4.7143,-nan
27.5,5.4805,-nan
29.5,6.3004,-nan
31.5,7.1733,-nan
33.5,8.0998,-nan
35.5,9.08,-nan
37.5,10.1147,-nan
39.5,11.2036,-nan
41.5,12.3466,-nan
43.5,13.5441,-nan
45.5,14.7911,-nan
16.5,2.1237,-nan
18.5,2.6293,-nan
20.5,3.1973,-nan
22.5,3.8243,-nan
24.5,4.5094,-nan
26.5,5.2506,-nan
28.5,6.0465,-nan
30.5,6.8963,-nan
32.5,7.7988,-nan
34.5,8.7546,-nan
36.5,9.7638,-nan
38.5,10.8268,-nan
40.5,11.9392,-nan
42.5,13.0861,-nan
23.5,4.58,190.994
25.5,5.2251,231.557
27.5,5.9273,275.931
29.5,6.6819,324.116
31.5,7.4919,376.112
33.5,8.3573,431.918
35.5,9.2778,491.535
37.5,10.2535,554.963
39.5,11.2851,622.202
41.5,12.3701,693.252
8.5,0.1966,-nan
10.5,0.4597,-nan
12.5,0.7746,-nan
14.5,1.1609,-nan
16.5,1.6112,-nan
18.5,2.1265,-nan
20.5,2.7051,-nan
22.5,3.3441,-nan
24.5,4.0411,-nan
26.5,4.7937,-nan
28.5,5.5992,-nan
30.5,6.457,-nan
32.5,7.3667,-nan
34.5,8.3293,-nan
36.5,9.3458,-nan
38.5,10.4169,-nan
40.5,11.5431,-nan
42.5,12.7224,-nan
44.5,13.9491,-nan
46.5,15.2181,-nan
48.5,16.5221,-nan
13.5,1.3394,-nan
15.5,1.7467,-nan
17.5,2.2184,-nan
19.5,2.7527,-nan
21.5,3.3484,-nan
23.5,4.003,-nan
25.5,4.7143,-nan
27.5,5.4805,-nan
29.5,6.3004,-nan
31.5,7.1733,-nan
33.5,8.0998,-nan
35.5,9.08,-nan
37.5,10.1147,-nan
39.5,11.2036,-nan
41.5,12.3466,-nan
43.5,13.5441,-nan
45.5,14.7911,-nan
16.5,2.1237,-nan
18.5,2.6293,-nan
20.5,3.1973,-nan
22.5,3.8243,-nan
24.5,4.5094,-nan
26.5,5.2506,-nan
28.5,6.0465,-nan
30.5,6.8963,-nan
32.5,7.7988,-nan
34.5,8.7546,-nan
36.5,9.7638,-nan
38.5,10.8268,-nan
40.5,11.9392,-nan
42.5,13.0861,-nan
23.5,4.58,190.996
25.5,5.2251,231.559
27.5,5.9273,275.933
29.5,6.6819,324.118
31.5,7.4919,376.114
33.5,8.3573,431.92
35.5,9.2778,491.537
37.5,10.2535,554.965
39.5,11.2851,622.204
41.5,12.3701,693.255
8.5,0.1966,4.40227
10.5,0.4597,12.603
12.5,0.7746,24.6067
14.5,1.1609,40.416
16.5,1.6112,60.0322
18.5,2.1265,83.4566
20.5,2.7051,110.69
22.5,3.3441,141.732
24.5,4.0411,176.584
26.5,4.7937,215.246
28.5,5.5992,257.718
30.5,6.457,304
32.5,7.3667,354.093
34.5,8.3293,407.996
36.5,9.3458,465.71
38.5,10.4169,527.235
40.5,11.5431,592.571
42.5,12.7224,661.717
44.5,13.9491,734.675
46.5,15.2181,811.443
48.5,16.5221,892.022
13.5,1.3394,32.0356
15.5,1.7467,49.7482
17.5,2.2184,71.2683
19.5,2.7527,96.597
21.5,3.3484,125.735
23.5,4.003,158.682
25.5,4.7143,195.439
27.5,5.4805,236.005
29.5,6.3004,280.383
31.5,7.1733,328.57
33.5,8.0998,380.568
35.5,9.08,436.377
37.5,10.1147,495.996
39.5,11.2036,559.427
41.5,12.3466,626.668
43.5,13.5441,697.72
45.5,14.7911,772.582
16.5,2.1237,50.4333
18.5,2.6293,72.209
20.5,3.1973,97.8165
22.5,3.8243,127.252
24.5,4.5094,160.514
26.5,5.2506,197.599
28.5,6.0465,238.506
30.5,6.8963,283.233
32.5,7.7988,331.78
34.5,8.7546,384.145
36.5,9.7638,440.328
38.5,10.8268,500.328
40.5,11.9392,564.145
42.5,13.0861,631.778
23.5,4.58,190.997
25.5,5.2251,231.561
27.5,5.9273,275.935
29.5,6.6819,324.12
31.5,7.4919,376.116
33.5,8.3573,431.922
35.5,9.2778,491.539
37.5,10.2535,554.968
39.5,11.2851,622.207
41.5,12.3701,693.257
8.5,0.1966,4.40178
10.5,0.4597,12.6026
12.5,0.7746,24.6065
14.5,1.1609,40.4159
16.5,1.6112,60.0323
18.5,2.1265,83.4568
