RESULTS FOR CHI-2 WITH DIFFERENT SINGLE-PARTICLE ENERGY
I_0     V     I     E_th     E_exp     CHI2
******************************
              e=              -0
*******TSD1********
47.5 6.71 36.5 9.16472 9.7638 0.0994945
47.5 6.71 38.5 10.3977 10.8268 0.0994945
47.5 6.71 40.5 11.7109 11.9392 0.0994945
47.5 6.71 42.5 13.1043 13.0861 0.0994945
*******TSD4********
47.5 6.71 23.5 4.06379 4.58 0.0994945
47.5 6.71 25.5 4.82678 5.2251 0.0994945
47.5 6.71 27.5 5.66981 5.9273 0.0994945
47.5 6.71 29.5 6.59292 6.6819 0.0994945
47.5 6.71 31.5 7.59613 7.4919 0.0994945
47.5 6.71 33.5 8.67946 8.3573 0.0994945
47.5 6.71 35.5 9.84295 9.2778 0.0994945
47.5 6.71 37.5 11.0866 10.2535 0.0994945
47.5 6.71 39.5 12.4104 11.2851 0.0994945
47.5 6.71 41.5 13.8144 12.3701 0.0994945
******************************
              e=              -0.668
*******TSD1********
47.5 7.11 8.5 0.0957119 0.1966 0.0990917
47.5 7.11 10.5 0.271452 0.4597 0.0990917
47.5 7.11 12.5 0.527247 0.7746 0.0990917
47.5 7.11 14.5 0.863116 1.1609 0.0990917
47.5 7.11 16.5 1.27908 1.6112 0.0990917
47.5 7.11 18.5 1.77514 2.1265 0.0990917
47.5 7.11 20.5 2.35132 2.7051 0.0990917
47.5 7.11 22.5 3.00764 3.3441 0.0990917
47.5 7.11 24.5 3.74408 4.0411 0.0990917
47.5 7.11 26.5 4.56068 4.7937 0.0990917
47.5 7.11 28.5 5.45742 5.5992 0.0990917
47.5 7.11 30.5 6.43432 6.457 0.0990917
47.5 7.11 32.5 7.49139 7.3667 0.0990917
47.5 7.11 34.5 8.62862 8.3293 0.0990917
47.5 7.11 36.5 9.84602 9.3458 0.0990917
47.5 7.11 38.5 11.1436 10.4169 0.0990917
47.5 7.11 40.5 12.5214 11.5431 0.0990917
47.5 7.11 42.5 13.9793 12.7224 0.0990917
47.5 7.11 44.5 15.5174 13.9491 0.0990917
47.5 7.11 46.5 17.1357 15.2181 0.0990917
47.5 7.11 48.5 18.8342 16.5221 0.0990917
*******TSD2********
47.5 7.11 13.5 0.710183 1.3394 0.0990917
47.5 7.11 15.5 1.05426 1.7467 0.0990917
47.5 7.11 17.5 1.47834 2.2184 0.0990917
47.5 7.11 19.5 1.98245 2.7527 0.0990917
47.5 7.11 21.5 2.56663 3.3484 0.0990917
47.5 7.11 23.5 3.2309 4.003 0.0990917
47.5 7.11 25.5 3.97527 4.7143 0.0990917
47.5 7.11 27.5 4.79978 5.4805 0.0990917
47.5 7.11 29.5 5.70442 6.3004 0.0990917
47.5 7.11 31.5 6.68922 7.1733 0.0990917
47.5 7.11 33.5 7.75418 8.0998 0.0990917
47.5 7.11 35.5 8.89932 9.08 0.0990917
47.5 7.11 37.5 10.1246 10.1147 0.0990917
47.5 7.11 39.5 11.4301 11.2036 0.0990917
47.5 7.11 41.5 12.8158 12.3466 0.0990917
47.5 7.11 43.5 14.2817 13.5441 0.0990917
47.5 7.11 45.5 15.8278 14.7911 0.0990917
*******TSD3********
47.5 7.11 16.5 1.24541 2.1237 0.0990917
47.5 7.11 18.5 1.67761 2.6293 0.0990917
47.5 7.11 20.5 2.18977 3.1973 0.0990917
47.5 7.11 22.5 2.78194 3.8243 0.0990917
47.5 7.11 24.5 3.45416 4.5094 0.0990917
47.5 7.11 26.5 4.20647 5.2506 0.0990917
47.5 7.11 28.5 5.03888 6.0465 0.0990917
47.5 7.11 30.5 5.95142 6.8963 0.0990917
47.5 7.11 32.5 6.94411 7.7988 0.0990917
47.5 7.11 34.5 8.01697 8.7546 0.0990917
47.5 7.11 36.5 9.17001 9.7638 0.0990917
47.5 7.11 38.5 10.4032 10.8268 0.0990917
47.5 7.11 40.5 11.7167 11.9392 0.0990917
47.5 7.11 42.5 13.1103 13.0861 0.0990917
*******TSD4********
47.5 7.11 23.5 4.05425 4.58 0.0990917
47.5 7.11 25.5 4.81752 5.2251 0.0990917
47.5 7.11 27.5 5.66081 5.9273 0.0990917
47.5 7.11 29.5 6.58418 6.6819 0.0990917
47.5 7.11 31.5 7.58764 7.4919 0.0990917
47.5 7.11 33.5 8.67122 8.3573 0.0990917
47.5 7.11 35.5 9.83494 9.2778 0.0990917
47.5 7.11 37.5 11.0788 10.2535 0.0990917
47.5 7.11 39.5 12.4029 11.2851 0.0990917
47.5 7.11 41.5 13.8071 12.3701 0.0990917
******************************
              e=              -0.7515
*******TSD1********
47.5 7.51 8.5 0.0957357 0.1966 0.0987265
47.5 7.51 10.5 0.271504 0.4597 0.0987265
47.5 7.51 12.5 0.527331 0.7746 0.0987265
47.5 7.51 14.5 0.863235 1.1609 0.0987265
47.5 7.51 16.5 1.27923 1.6112 0.0987265
47.5 7.51 18.5 1.77534 2.1265 0.0987265
47.5 7.51 20.5 2.35157 2.7051 0.0987265
47.5 7.51 22.5 3.00792 3.3441 0.0987265
47.5 7.51 24.5 3.74442 4.0411 0.0987265
47.5 7.51 26.5 4.56106 4.7937 0.0987265
47.5 7.51 28.5 5.45785 5.5992 0.0987265
47.5 7.51 30.5 6.4348 6.457 0.0987265
47.5 7.51 32.5 7.49192 7.3667 0.0987265
47.5 7.51 34.5 8.6292 8.3293 0.0987265
47.5 7.51 36.5 9.84666 9.3458 0.0987265
47.5 7.51 38.5 11.1443 10.4169 0.0987265
47.5 7.51 40.5 12.5221 11.5431 0.0987265
47.5 7.51 42.5 13.9801 12.7224 0.0987265
47.5 7.51 44.5 15.5183 13.9491 0.0987265
47.5 7.51 46.5 17.1366 15.2181 0.0987265
47.5 7.51 48.5 18.8352 16.5221 0.0987265
*******TSD2********
47.5 7.51 13.5 0.711198 1.3394 0.0987265
47.5 7.51 15.5 1.05544 1.7467 0.0987265
47.5 7.51 17.5 1.47969 2.2184 0.0987265
47.5 7.51 19.5 1.98397 2.7527 0.0987265
47.5 7.51 21.5 2.56831 3.3484 0.0987265
47.5 7.51 23.5 3.23273 4.003 0.0987265
47.5 7.51 25.5 3.97726 4.7143 0.0987265
47.5 7.51 27.5 4.80191 5.4805 0.0987265
47.5 7.51 29.5 5.70671 6.3004 0.0987265
47.5 7.51 31.5 6.69165 7.1733 0.0987265
47.5 7.51 33.5 7.75675 8.0998 0.0987265
47.5 7.51 35.5 8.90203 9.08 0.0987265
47.5 7.51 37.5 10.1275 10.1147 0.0987265
47.5 7.51 39.5 11.4331 11.2036 0.0987265
47.5 7.51 41.5 12.8189 12.3466 0.0987265
47.5 7.51 43.5 14.285 13.5441 0.0987265
47.5 7.51 45.5 15.8312 14.7911 0.0987265
*******TSD3********
47.5 7.51 16.5 1.24765 2.1237 0.0987265
47.5 7.51 18.5 1.68015 2.6293 0.0987265
47.5 7.51 20.5 2.19259 3.1973 0.0987265
47.5 7.51 22.5 2.78504 3.8243 0.0987265
47.5 7.51 24.5 3.45754 4.5094 0.0987265
47.5 7.51 26.5 4.2101 5.2506 0.0987265
47.5 7.51 28.5 5.04277 6.0465 0.0987265
47.5 7.51 30.5 5.95556 6.8963 0.0987265
47.5 7.51 32.5 6.9485 7.7988 0.0987265
47.5 7.51 34.5 8.02159 8.7546 0.0987265
47.5 7.51 36.5 9.17485 9.7638 0.0987265
47.5 7.51 38.5 10.4083 10.8268 0.0987265
47.5 7.51 40.5 11.7219 11.9392 0.0987265
47.5 7.51 42.5 13.1158 13.0861 0.0987265
*******TSD4********
47.5 7.51 23.5 4.04444 4.58 0.0987265
47.5 7.51 25.5 4.80795 5.2251 0.0987265
47.5 7.51 27.5 5.65149 5.9273 0.0987265
47.5 7.51 29.5 6.57509 6.6819 0.0987265
47.5 7.51 31.5 7.57878 7.4919 0.0987265
47.5 7.51 33.5 8.66259 8.3573 0.0987265
47.5 7.51 35.5 9.82653 9.2778 0.0987265
47.5 7.51 37.5 11.0706 10.2535 0.0987265
47.5 7.51 39.5 12.3949 11.2851 0.0987265
47.5 7.51 41.5 13.7993 12.3701 0.0987265
******************************
              e=              -0.835
*******TSD1********
47.5 7.91 8.5 0.0957575 0.1966 0.0983943
47.5 7.91 10.5 0.271552 0.4597 0.0983943
47.5 7.91 12.5 0.527407 0.7746 0.0983943
47.5 7.91 14.5 0.863344 1.1609 0.0983943
47.5 7.91 16.5 1.27938 1.6112 0.0983943
47.5 7.91 18.5 1.77552 2.1265 0.0983943
47.5 7.91 20.5 2.35179 2.7051 0.0983943
47.5 7.91 22.5 3.00818 3.3441 0.0983943
47.5 7.91 24.5 3.74472 4.0411 0.0983943
47.5 7.91 26.5 4.56141 4.7937 0.0983943
47.5 7.91 28.5 5.45825 5.5992 0.0983943
47.5 7.91 30.5 6.43524 6.457 0.0983943
47.5 7.91 32.5 7.49241 7.3667 0.0983943
47.5 7.91 34.5 8.62974 8.3293 0.0983943
47.5 7.91 36.5 9.84724 9.3458 0.0983943
47.5 7.91 38.5 11.1449 10.4169 0.0983943
47.5 7.91 40.5 12.5228 11.5431 0.0983943
47.5 7.91 42.5 13.9808 12.7224 0.0983943
47.5 7.91 44.5 15.5191 13.9491 0.0983943
47.5 7.91 46.5 17.1375 15.2181 0.0983943
47.5 7.91 48.5 18.8361 16.5221 0.0983943
*******TSD2********
47.5 7.91 13.5 0.712117 1.3394 0.0983943
47.5 7.91 15.5 1.05652 1.7467 0.0983943
47.5 7.91 17.5 1.48091 2.2184 0.0983943
47.5 7.91 19.5 1.98534 2.7527 0.0983943
47.5 7.91 21.5 2.56983 3.3484 0.0983943
47.5 7.91 23.5 3.2344 4.003 0.0983943
47.5 7.91 25.5 3.97907 4.7143 0.0983943
47.5 7.91 27.5 4.80387 5.4805 0.0983943
47.5 7.91 29.5 5.7088 6.3004 0.0983943
47.5 7.91 31.5 6.69387 7.1733 0.0983943
47.5 7.91 33.5 7.75911 8.0998 0.0983943
47.5 7.91 35.5 8.90451 9.08 0.0983943
47.5 7.91 37.5 10.1301 10.1147 0.0983943
47.5 7.91 39.5 11.4359 11.2036 0.0983943
47.5 7.91 41.5 12.8218 12.3466 0.0983943
47.5 7.91 43.5 14.2879 13.5441 0.0983943
47.5 7.91 45.5 15.8343 14.7911 0.0983943
*******TSD3********
47.5 7.91 16.5 1.24969 2.1237 0.0983943
47.5 7.91 18.5 1.68245 2.6293 0.0983943
47.5 7.91 20.5 2.19516 3.1973 0.0983943
47.5 7.91 22.5 2.78787 3.8243 0.0983943
47.5 7.91 24.5 3.46061 4.5094 0.0983943
47.5 7.91 26.5 4.21342 5.2506 0.0983943
47.5 7.91 28.5 5.04633 6.0465 0.0983943
47.5 7.91 30.5 5.95935 6.8963 0.0983943
47.5 7.91 32.5 6.95251 7.7988 0.0983943
47.5 7.91 34.5 8.02581 8.7546 0.0983943
47.5 7.91 36.5 9.17929 9.7638 0.0983943
47.5 7.91 38.5 10.4129 10.8268 0.0983943
47.5 7.91 40.5 11.7268 11.9392 0.0983943
47.5 7.91 42.5 13.1208 13.0861 0.0983943
*******TSD4********
47.5 7.91 23.5 4.03439 4.58 0.0983943
47.5 7.91 25.5 4.79812 5.2251 0.0983943
47.5 7.91 27.5 5.64188 5.9273 0.0983943
47.5 7.91 29.5 6.5657 6.6819 0.0983943
47.5 7.91 31.5 7.56961 7.4919 0.0983943
47.5 7.91 33.5 8.65362 8.3573 0.0983943
47.5 7.91 35.5 9.81777 9.2778 0.0983943
47.5 7.91 37.5 11.0621 10.2535 0.0983943
47.5 7.91 39.5 12.3865 11.2851 0.0983943
47.5 7.91 41.5 13.7911 12.3701 0.0983943
******************************
              e=              -0.9185
*******TSD1********
47.5 8.31 8.5 0.0957773 0.1966 0.0980916
47.5 8.31 10.5 0.271595 0.4597 0.0980916
47.5 8.31 12.5 0.527478 0.7746 0.0980916
47.5 8.31 14.5 0.863444 1.1609 0.0980916
47.5 8.31 16.5 1.27951 1.6112 0.0980916
47.5 8.31 18.5 1.77569 2.1265 0.0980916
47.5 8.31 20.5 2.35199 2.7051 0.0980916
47.5 8.31 22.5 3.00843 3.3441 0.0980916
47.5 8.31 24.5 3.745 4.0411 0.0980916
47.5 8.31 26.5 4.56173 4.7937 0.0980916
47.5 8.31 28.5 5.45861 5.5992 0.0980916
47.5 8.31 30.5 6.43565 6.457 0.0980916
47.5 8.31 32.5 7.49286 7.3667 0.0980916
47.5 8.31 34.5 8.63024 8.3293 0.0980916
47.5 8.31 36.5 9.84779 9.3458 0.0980916
47.5 8.31 38.5 11.1455 10.4169 0.0980916
47.5 8.31 40.5 12.5234 11.5431 0.0980916
47.5 8.31 42.5 13.9815 12.7224 0.0980916
47.5 8.31 44.5 15.5198 13.9491 0.0980916
47.5 8.31 46.5 17.1383 15.2181 0.0980916
47.5 8.31 48.5 18.8369 16.5221 0.0980916
*******TSD2********
47.5 8.31 13.5 0.712952 1.3394 0.0980916
47.5 8.31 15.5 1.05749 1.7467 0.0980916
47.5 8.31 17.5 1.48203 2.2184 0.0980916
47.5 8.31 19.5 1.9866 2.7527 0.0980916
47.5 8.31 21.5 2.57122 3.3484 0.0980916
47.5 8.31 23.5 3.23593 4.003 0.0980916
47.5 8.31 25.5 3.98073 4.7143 0.0980916
47.5 8.31 27.5 4.80566 5.4805 0.0980916
47.5 8.31 29.5 5.71072 6.3004 0.0980916
47.5 8.31 31.5 6.69592 7.1733 0.0980916
47.5 8.31 33.5 7.76128 8.0998 0.0980916
47.5 8.31 35.5 8.90681 9.08 0.0980916
47.5 8.31 37.5 10.1325 10.1147 0.0980916
47.5 8.31 39.5 11.4384 11.2036 0.0980916
47.5 8.31 41.5 12.8244 12.3466 0.0980916
47.5 8.31 43.5 14.2907 13.5441 0.0980916
47.5 8.31 45.5 15.8372 14.7911 0.0980916
*******TSD3********
47.5 8.31 16.5 1.25154 2.1237 0.0980916
47.5 8.31 18.5 1.68455 2.6293 0.0980916
47.5 8.31 20.5 2.19751 3.1973 0.0980916
47.5 8.31 22.5 2.79045 3.8243 0.0980916
47.5 8.31 24.5 3.46343 4.5094 0.0980916
47.5 8.31 26.5 4.21647 5.2506 0.0980916
47.5 8.31 28.5 5.04959 6.0465 0.0980916
47.5 8.31 30.5 5.96283 6.8963 0.0980916
47.5 8.31 32.5 6.95619 7.7988 0.0980916
47.5 8.31 34.5 8.0297 8.7546 0.0980916
47.5 8.31 36.5 9.18337 9.7638 0.0980916
47.5 8.31 38.5 10.4172 10.8268 0.0980916
47.5 8.31 40.5 11.7312 11.9392 0.0980916
47.5 8.31 42.5 13.1255 13.0861 0.0980916
*******TSD4********
47.5 8.31 23.5 4.02412 4.58 0.0980916
47.5 8.31 25.5 4.78806 5.2251 0.0980916
47.5 8.31 27.5 5.63203 5.9273 0.0980916
47.5 8.31 29.5 6.55605 6.6819 0.0980916
47.5 8.31 31.5 7.56016 7.4919 0.0980916
47.5 8.31 33.5 8.64437 8.3573 0.0980916
47.5 8.31 35.5 9.8087 9.2778 0.0980916
47.5 8.31 37.5 11.0532 10.2535 0.0980916
47.5 8.31 39.5 12.3778 11.2851 0.0980916
47.5 8.31 41.5 13.7826 12.3701 0.0980916
******************************
              e=              -1.002
*******TSD1********
47.5 8.71 8.5 0.0957956 0.1966 0.0978152
47.5 8.71 10.5 0.271635 0.4597 0.0978152
47.5 8.71 12.5 0.527543 0.7746 0.0978152
47.5 8.71 14.5 0.863536 1.1609 0.0978152
47.5 8.71 16.5 1.27963 1.6112 0.0978152
47.5 8.71 18.5 1.77584 2.1265 0.0978152
47.5 8.71 20.5 2.35218 2.7051 0.0978152
47.5 8.71 22.5 3.00865 3.3441 0.0978152
47.5 8.71 24.5 3.74526 4.0411 0.0978152
47.5 8.71 26.5 4.56203 4.7937 0.0978152
47.5 8.71 28.5 5.45895 5.5992 0.0978152
47.5 8.71 30.5 6.43603 6.457 0.0978152
47.5 8.71 32.5 7.49328 7.3667 0.0978152
47.5 8.71 34.5 8.6307 8.3293 0.0978152
47.5 8.71 36.5 9.8483 9.3458 0.0978152
47.5 8.71 38.5 11.1461 10.4169 0.0978152
47.5 8.71 40.5 12.524 11.5431 0.0978152
47.5 8.71 42.5 13.9822 12.7224 0.0978152
47.5 8.71 44.5 15.5205 13.9491 0.0978152
47.5 8.71 46.5 17.139 15.2181 0.0978152
47.5 8.71 48.5 18.8377 16.5221 0.0978152
*******TSD2********
47.5 8.71 13.5 0.713716 1.3394 0.0978152
47.5 8.71 15.5 1.05839 1.7467 0.0978152
47.5 8.71 17.5 1.48305 2.2184 0.0978152
47.5 8.71 19.5 1.98775 2.7527 0.0978152
47.5 8.71 21.5 2.5725 3.3484 0.0978152
47.5 8.71 23.5 3.23733 4.003 0.0978152
47.5 8.71 25.5 3.98226 4.7143 0.0978152
47.5 8.71 27.5 4.80731 5.4805 0.0978152
47.5 8.71 29.5 5.71249 6.3004 0.0978152
47.5 8.71 31.5 6.69781 7.1733 0.0978152
47.5 8.71 33.5 7.76329 8.0998 0.0978152
47.5 8.71 35.5 8.90892 9.08 0.0978152
47.5 8.71 37.5 10.1347 10.1147 0.0978152
47.5 8.71 39.5 11.4407 11.2036 0.0978152
47.5 8.71 41.5 12.8269 12.3466 0.0978152
47.5 8.71 43.5 14.2933 13.5441 0.0978152
47.5 8.71 45.5 15.8398 14.7911 0.0978152
*******TSD3********
47.5 8.71 16.5 1.25324 2.1237 0.0978152
47.5 8.71 18.5 1.68648 2.6293 0.0978152
47.5 8.71 20.5 2.19966 3.1973 0.0978152
47.5 8.71 22.5 2.79282 3.8243 0.0978152
47.5 8.71 24.5 3.46601 4.5094 0.0978152
47.5 8.71 26.5 4.21926 5.2506 0.0978152
47.5 8.71 28.5 5.05259 6.0465 0.0978152
47.5 8.71 30.5 5.96603 6.8963 0.0978152
47.5 8.71 32.5 6.95959 7.7988 0.0978152
47.5 8.71 34.5 8.03329 8.7546 0.0978152
47.5 8.71 36.5 9.18715 9.7638 0.0978152
47.5 8.71 38.5 10.4212 10.8268 0.0978152
47.5 8.71 40.5 11.7354 11.9392 0.0978152
47.5 8.71 42.5 13.1298 13.0861 0.0978152
*******TSD4********
47.5 8.71 23.5 4.01367 4.58 0.0978152
47.5 8.71 25.5 4.77781 5.2251 0.0978152
47.5 8.71 27.5 5.62196 5.9273 0.0978152
47.5 8.71 29.5 6.54617 6.6819 0.0978152
47.5 8.71 31.5 7.55046 7.4919 0.0978152
47.5 8.71 33.5 8.63485 8.3573 0.0978152
47.5 8.71 35.5 9.79936 9.2778 0.0978152
47.5 8.71 37.5 11.044 10.2535 0.0978152
47.5 8.71 39.5 12.3688 11.2851 0.0978152
47.5 8.71 41.5 13.7738 12.3701 0.0978152
******************************
              e=              -1.0855
*******TSD1********
47.5 9.11 8.5 0.0958124 0.1966 0.0975627
47.5 9.11 10.5 0.271672 0.4597 0.0975627
47.5 9.11 12.5 0.527602 0.7746 0.0975627
47.5 9.11 14.5 0.863621 1.1609 0.0975627
47.5 9.11 16.5 1.27974 1.6112 0.0975627
47.5 9.11 18.5 1.77598 2.1265 0.0975627
47.5 9.11 20.5 2.35235 2.7051 0.0975627
47.5 9.11 22.5 3.00886 3.3441 0.0975627
47.5 9.11 24.5 3.74551 4.0411 0.0975627
47.5 9.11 26.5 4.56231 4.7937 0.0975627
47.5 9.11 28.5 5.45926 5.5992 0.0975627
47.5 9.11 30.5 6.43639 6.457 0.0975627
47.5 9.11 32.5 7.49367 7.3667 0.0975627
47.5 9.11 34.5 8.63113 8.3293 0.0975627
47.5 9.11 36.5 9.84877 9.3458 0.0975627
47.5 9.11 38.5 11.1466 10.4169 0.0975627
47.5 9.11 40.5 12.5246 11.5431 0.0975627
47.5 9.11 42.5 13.9828 12.7224 0.0975627
47.5 9.11 44.5 15.5211 13.9491 0.0975627
47.5 9.11 46.5 17.1397 15.2181 0.0975627
47.5 9.11 48.5 18.8384 16.5221 0.0975627
*******TSD2********
47.5 9.11 13.5 0.714416 1.3394 0.0975627
47.5 9.11 15.5 1.05921 1.7467 0.0975627
47.5 9.11 17.5 1.48399 2.2184 0.0975627
47.5 9.11 19.5 1.98881 2.7527 0.0975627
47.5 9.11 21.5 2.57368 3.3484 0.0975627
47.5 9.11 23.5 3.23863 4.003 0.0975627
47.5 9.11 25.5 3.98367 4.7143 0.0975627
47.5 9.11 27.5 4.80883 5.4805 0.0975627
47.5 9.11 29.5 5.71412 6.3004 0.0975627
47.5 9.11 31.5 6.69956 7.1733 0.0975627
47.5 9.11 33.5 7.76514 8.0998 0.0975627
47.5 9.11 35.5 8.91089 9.08 0.0975627
47.5 9.11 37.5 10.1368 10.1147 0.0975627
47.5 9.11 39.5 11.4429 11.2036 0.0975627
47.5 9.11 41.5 12.8292 12.3466 0.0975627
47.5 9.11 43.5 14.2956 13.5441 0.0975627
47.5 9.11 45.5 15.8423 14.7911 0.0975627
*******TSD3********
47.5 9.11 16.5 1.25479 2.1237 0.0975627
47.5 9.11 18.5 1.68824 2.6293 0.0975627
47.5 9.11 20.5 2.20163 3.1973 0.0975627
47.5 9.11 22.5 2.795 3.8243 0.0975627
47.5 9.11 24.5 3.46839 4.5094 0.0975627
47.5 9.11 26.5 4.22184 5.2506 0.0975627
47.5 9.11 28.5 5.05536 6.0465 0.0975627
47.5 9.11 30.5 5.96899 6.8963 0.0975627
47.5 9.11 32.5 6.96273 7.7988 0.0975627
47.5 9.11 34.5 8.03661 8.7546 0.0975627
47.5 9.11 36.5 9.19064 9.7638 0.0975627
47.5 9.11 38.5 10.4248 10.8268 0.0975627
47.5 9.11 40.5 11.7392 11.9392 0.0975627
47.5 9.11 42.5 13.1338 13.0861 0.0975627
*******TSD4********
47.5 9.11 23.5 4.00306 4.58 0.0975627
47.5 9.11 25.5 4.76737 5.2251 0.0975627
47.5 9.11 27.5 5.61171 5.9273 0.0975627
47.5 9.11 29.5 6.53609 6.6819 0.0975627
47.5 9.11 31.5 7.54055 7.4919 0.0975627
47.5 9.11 33.5 8.62511 8.3573 0.0975627
47.5 9.11 35.5 9.78978 9.2778 0.0975627
47.5 9.11 37.5 11.0346 10.2535 0.0975627
47.5 9.11 39.5 12.3596 11.2851 0.0975627
47.5 9.11 41.5 13.7647 12.3701 0.0975627
******************************
              e=              -1.169
*******TSD1********
47.5 9.51 8.5 0.095828 0.1966 0.097332
47.5 9.51 10.5 0.271706 0.4597 0.097332
47.5 9.51 12.5 0.527658 0.7746 0.097332
47.5 9.51 14.5 0.8637 1.1609 0.097332
47.5 9.51 16.5 1.27985 1.6112 0.097332
47.5 9.51 18.5 1.77612 2.1265 0.097332
47.5 9.51 20.5 2.35251 2.7051 0.097332
47.5 9.51 22.5 3.00905 3.3441 0.097332
47.5 9.51 24.5 3.74573 4.0411 0.097332
47.5 9.51 26.5 4.56256 4.7937 0.097332
47.5 9.51 28.5 5.45956 5.5992 0.097332
47.5 9.51 30.5 6.43671 6.457 0.097332
47.5 9.51 32.5 7.49404 7.3667 0.097332
47.5 9.51 34.5 8.63154 8.3293 0.097332
47.5 9.51 36.5 9.84921 9.3458 0.097332
47.5 9.51 38.5 11.1471 10.4169 0.097332
47.5 9.51 40.5 12.5251 11.5431 0.097332
47.5 9.51 42.5 13.9833 12.7224 0.097332
47.5 9.51 44.5 15.5217 13.9491 0.097332
47.5 9.51 46.5 17.1403 15.2181 0.097332
47.5 9.51 48.5 18.8391 16.5221 0.097332
*******TSD2********
47.5 9.51 13.5 0.71506 1.3394 0.097332
47.5 9.51 15.5 1.05996 1.7467 0.097332
47.5 9.51 17.5 1.48486 2.2184 0.097332
47.5 9.51 19.5 1.98979 2.7527 0.097332
47.5 9.51 21.5 2.57476 3.3484 0.097332
47.5 9.51 23.5 3.23982 4.003 0.097332
47.5 9.51 25.5 3.98498 4.7143 0.097332
47.5 9.51 27.5 4.81025 5.4805 0.097332
47.5 9.51 29.5 5.71564 6.3004 0.097332
47.5 9.51 31.5 6.70118 7.1733 0.097332
47.5 9.51 33.5 7.76687 8.0998 0.097332
47.5 9.51 35.5 8.91271 9.08 0.097332
47.5 9.51 37.5 10.1387 10.1147 0.097332
47.5 9.51 39.5 11.4449 11.2036 0.097332
47.5 9.51 41.5 12.8313 12.3466 0.097332
47.5 9.51 43.5 14.2978 13.5441 0.097332
47.5 9.51 45.5 15.8446 14.7911 0.097332
*******TSD3********
47.5 9.51 16.5 1.25623 2.1237 0.097332
47.5 9.51 18.5 1.68987 2.6293 0.097332
47.5 9.51 20.5 2.20345 3.1973 0.097332
47.5 9.51 22.5 2.79702 3.8243 0.097332
47.5 9.51 24.5 3.4706 4.5094 0.097332
47.5 9.51 26.5 4.22422 5.2506 0.097332
47.5 9.51 28.5 5.05793 6.0465 0.097332
47.5 9.51 30.5 5.97173 6.8963 0.097332
47.5 9.51 32.5 6.96564 7.7988 0.097332
47.5 9.51 34.5 8.03969 8.7546 0.097332
47.5 9.51 36.5 9.19389 9.7638 0.097332
47.5 9.51 38.5 10.4282 10.8268 0.097332
47.5 9.51 40.5 11.7428 11.9392 0.097332
47.5 9.51 42.5 13.1375 13.0861 0.097332
*******TSD4********
47.5 9.51 23.5 3.9923 4.58 0.097332
47.5 9.51 25.5 4.75678 5.2251 0.097332
47.5 9.51 27.5 5.60128 5.9273 0.097332
47.5 9.51 29.5 6.52583 6.6819 0.097332
47.5 9.51 31.5 7.53045 7.4919 0.097332
47.5 9.51 33.5 8.61516 8.3573 0.097332
47.5 9.51 35.5 9.77999 9.2778 0.097332
47.5 9.51 37.5 11.025 10.2535 0.097332
47.5 9.51 39.5 12.3501 11.2851 0.097332
47.5 9.51 41.5 13.7553 12.3701 0.097332
******************************
              e=              -1.2525
*******TSD1********
47.5 9.91 8.5 0.0958424 0.1966 0.0971213
47.5 9.91 10.5 0.271738 0.4597 0.0971213
47.5 9.91 12.5 0.527709 0.7746 0.0971213
47.5 9.91 14.5 0.863774 1.1609 0.0971213
47.5 9.91 16.5 1.27995 1.6112 0.0971213
47.5 9.91 18.5 1.77624 2.1265 0.0971213
47.5 9.91 20.5 2.35266 2.7051 0.0971213
47.5 9.91 22.5 3.00923 3.3441 0.0971213
47.5 9.91 24.5 3.74594 4.0411 0.0971213
47.5 9.91 26.5 4.56281 4.7937 0.0971213
47.5 9.91 28.5 5.45983 5.5992 0.0971213
47.5 9.91 30.5 6.43702 6.457 0.0971213
47.5 9.91 32.5 7.49438 7.3667 0.0971213
47.5 9.91 34.5 8.63191 8.3293 0.0971213
47.5 9.91 36.5 9.84962 9.3458 0.0971213
47.5 9.91 38.5 11.1475 10.4169 0.0971213
47.5 9.91 40.5 12.5256 11.5431 0.0971213
47.5 9.91 42.5 13.9838 12.7224 0.0971213
47.5 9.91 44.5 15.5223 13.9491 0.0971213
47.5 9.91 46.5 17.1409 15.2181 0.0971213
47.5 9.91 48.5 18.8398 16.5221 0.0971213
*******TSD2********
47.5 9.91 13.5 0.715655 1.3394 0.0971213
47.5 9.91 15.5 1.06066 1.7467 0.0971213
47.5 9.91 17.5 1.48566 2.2184 0.0971213
47.5 9.91 19.5 1.99069 2.7527 0.0971213
47.5 9.91 21.5 2.57577 3.3484 0.0971213
47.5 9.91 23.5 3.24093 4.003 0.0971213
47.5 9.91 25.5 3.98619 4.7143 0.0971213
47.5 9.91 27.5 4.81156 5.4805 0.0971213
47.5 9.91 29.5 5.71705 6.3004 0.0971213
47.5 9.91 31.5 6.70269 7.1733 0.0971213
47.5 9.91 33.5 7.76847 8.0998 0.0971213
47.5 9.91 35.5 8.91442 9.08 0.0971213
47.5 9.91 37.5 10.1405 10.1147 0.0971213
47.5 9.91 39.5 11.4468 11.2036 0.0971213
47.5 9.91 41.5 12.8333 12.3466 0.0971213
47.5 9.91 43.5 14.2999 13.5441 0.0971213
47.5 9.91 45.5 15.8468 14.7911 0.0971213
*******TSD3********
47.5 9.91 16.5 1.25755 2.1237 0.0971213
