RESULTS FOR CHI-2 WITH DIFFERENT SINGLE-PARTICLE ENERGY
I_0     V     I     E_th     E_exp     CHI2
******************************
              e=              -0
*******TSD1********
47.6 4.71 42.5 13.0368 13.0861 0.103018
*******TSD4********
47.6 4.71 23.5 4.18147 4.58 0.103018
47.6 4.71 25.5 4.94104 5.2251 0.103018
47.6 4.71 27.5 5.78055 5.9273 0.103018
47.6 4.71 29.5 6.70001 6.6819 0.103018
47.6 4.71 31.5 7.69947 7.4919 0.103018
47.6 4.71 33.5 8.77894 8.3573 0.103018
47.6 4.71 35.5 9.93844 9.2778 0.103018
47.6 4.71 37.5 11.178 10.2535 0.103018
47.6 4.71 39.5 12.4976 11.2851 0.103018
47.6 4.71 41.5 13.8973 12.3701 0.103018
******************************
              e=              -0.167
*******TSD1********
47.6 5.01 8.5 0.0953363 0.1966 0.102265
47.6 5.01 10.5 0.270503 0.4597 0.102265
47.6 5.01 12.5 0.52553 0.7746 0.102265
47.6 5.01 14.5 0.860442 1.1609 0.102265
47.6 5.01 16.5 1.27526 1.6112 0.102265
47.6 5.01 18.5 1.77 2.1265 0.102265
47.6 5.01 20.5 2.34467 2.7051 0.102265
47.6 5.01 22.5 2.99929 3.3441 0.102265
47.6 5.01 24.5 3.73388 4.0411 0.102265
47.6 5.01 26.5 4.54843 4.7937 0.102265
47.6 5.01 28.5 5.44295 5.5992 0.102265
47.6 5.01 30.5 6.41746 6.457 0.102265
47.6 5.01 32.5 7.47196 7.3667 0.102265
47.6 5.01 34.5 8.60646 8.3293 0.102265
47.6 5.01 36.5 9.82095 9.3458 0.102265
47.6 5.01 38.5 11.1155 10.4169 0.102265
47.6 5.01 40.5 12.49 11.5431 0.102265
47.6 5.01 42.5 13.9445 12.7224 0.102265
47.6 5.01 44.5 15.479 13.9491 0.102265
47.6 5.01 46.5 17.0936 15.2181 0.102265
47.6 5.01 48.5 18.7881 16.5221 0.102265
*******TSD2********
47.6 5.01 13.5 0.701033 1.3394 0.102265
47.6 5.01 15.5 1.04318 1.7467 0.102265
47.6 5.01 17.5 1.46519 2.2184 0.102265
47.6 5.01 19.5 1.9671 2.7527 0.102265
47.6 5.01 21.5 2.54893 3.3484 0.102265
47.6 5.01 23.5 3.21072 4.003 0.102265
47.6 5.01 25.5 3.95248 4.7143 0.102265
47.6 5.01 27.5 4.77423 5.4805 0.102265
47.6 5.01 29.5 5.67598 6.3004 0.102265
47.6 5.01 31.5 6.65775 7.1733 0.102265
47.6 5.01 33.5 7.71954 8.0998 0.102265
47.6 5.01 35.5 8.86137 9.08 0.102265
47.6 5.01 37.5 10.0832 10.1147 0.102265
47.6 5.01 39.5 11.3852 11.2036 0.102265
47.6 5.01 41.5 12.7671 12.3466 0.102265
47.6 5.01 43.5 14.2291 13.5441 0.102265
47.6 5.01 45.5 15.7712 14.7911 0.102265
*******TSD3********
47.6 5.01 16.5 1.22592 2.1237 0.102265
47.6 5.01 18.5 1.65512 2.6293 0.102265
47.6 5.01 20.5 2.1642 3.1973 0.102265
47.6 5.01 22.5 2.75319 3.8243 0.102265
47.6 5.01 24.5 3.42214 4.5094 0.102265
47.6 5.01 26.5 4.17108 5.2506 0.102265
47.6 5.01 28.5 5.00003 6.0465 0.102265
47.6 5.01 30.5 5.909 6.8963 0.102265
47.6 5.01 32.5 6.89803 7.7988 0.102265
47.6 5.01 34.5 7.96712 8.7546 0.102265
47.6 5.01 36.5 9.11629 9.7638 0.102265
47.6 5.01 38.5 10.3455 10.8268 0.102265
47.6 5.01 40.5 11.6549 11.9392 0.102265
47.6 5.01 42.5 13.0443 13.0861 0.102265
*******TSD4********
47.6 5.01 23.5 4.15532 4.58 0.102265
47.6 5.01 25.5 4.91523 5.2251 0.102265
47.6 5.01 27.5 5.75506 5.9273 0.102265
47.6 5.01 29.5 6.67484 6.6819 0.102265
47.6 5.01 31.5 7.6746 7.4919 0.102265
47.6 5.01 33.5 8.75436 8.3573 0.102265
47.6 5.01 35.5 9.91414 9.2778 0.102265
47.6 5.01 37.5 11.154 10.2535 0.102265
47.6 5.01 39.5 12.4738 11.2851 0.102265
47.6 5.01 41.5 13.8737 12.3701 0.102265
******************************
              e=              -0.2505
*******TSD1********
47.6 5.31 8.5 0.0953684 0.1966 0.101588
47.6 5.31 10.5 0.270573 0.4597 0.101588
47.6 5.31 12.5 0.525641 0.7746 0.101588
